,Season,Transfer Type,Player,Club,Transfer Sum
0,23/24,Départs,Pablo Marí,Monza,"4,90 mio. €"
1,23/24,Départs,Ainsley Maitland-Niles,Sans club,-
2,23/24,Arrivées,Gabriel Jesus,Manchester City,"52,20 mio. €"
3,23/24,Arrivées,Fábio Vieira,FC Porto,"35,00 mio. €"
4,23/24,Arrivées,Oleksandr Zinchenko,Manchester City,"35,00 mio. €"
5,23/24,Arrivées,Jakub Kiwior,Spezia Calcio,"25,00 mio. €"
6,23/24,Arrivées,Leandro Trossard,Brighton,"24,00 mio. €"
7,23/24,Arrivées,Jorginho,Chelsea,"11,30 mio. €"
8,23/24,Arrivées,Matt Turner,New England,"6,36 mio. €"
9,23/24,Arrivées,Marquinhos,FC São Paulo,"3,50 mio. €"
10,23/24,Arrivées,Auston Trusty,Birmingham,Fin du prêt
11,23/24,Arrivées,Ainsley Maitland-Niles,Southampton,Fin du prêt
12,23/24,Arrivées,Marquinhos,Norwich,Fin du prêt
13,23/24,Arrivées,Albert Sambi Lokonga,Crystal Palace,Fin du prêt
14,23/24,Arrivées,Auston Trusty,Colorado,Fin du prêt
15,23/24,Arrivées,Folarin Balogun,Arsenal U21,-
16,22/23,Départs,Mattéo Guendouzi,Marseille,"11,00 mio. €"
17,22/23,Départs,Lucas Torreira,Galatasaray,"6,00 mio. €"
18,22/23,Départs,Bernd Leno,FC Fulham,"3,60 mio. €"
19,22/23,Départs,Konstantinos Mavropanos,VfB Stuttgart,"3,20 mio. €"
20,22/23,Départs,Alexandre Lacazette,Ol. Lyonnais,Transfert libre
21,22/23,Départs,Pablo Marí,Monza,Prêt
22,22/23,Départs,Héctor Bellerín,Barcelone,Transfert libre
23,22/23,Départs,Marquinhos,Norwich,Prêt
24,22/23,Départs,Albert Sambi Lokonga,Crystal Palace,Prêt
25,22/23,Départs,Cédric Soares,FC Fulham,Prêt
26,22/23,Départs,Auston Trusty,Birmingham,Prêt
27,22/23,Départs,Nuno Tavares,Marseille,Prêt
28,22/23,Départs,Folarin Balogun,Stade de Reims,Prêt
29,22/23,Départs,Rúnar Alex Rúnarsson,Alanyaspor,Prêt
30,22/23,Départs,Nicolas Pépé,OGC Nice,Prêt
31,22/23,Départs,Ainsley Maitland-Niles,Southampton,Prêt
32,22/23,Arrivées,Ben White,Brighton,"58,50 mio. €"
33,22/23,Arrivées,Martin Ødegaard,Real Madrid,"35,00 mio. €"
34,22/23,Arrivées,Aaron Ramsdale,Sheff Utd,"28,00 mio. €"
35,22/23,Arrivées,Takehiro Tomiyasu,FC Bologna,"18,60 mio. €"
36,22/23,Arrivées,Albert Sambi Lokonga,RSC Anderlecht,"17,50 mio. €"
37,22/23,Arrivées,Nuno Tavares,Benfica,"8,00 mio. €"
38,22/23,Arrivées,Auston Trusty,Colorado,"1,80 mio. €"
39,22/23,Arrivées,Dejan Iliev,SKF Sered,Fin du prêt
40,21/22,Départs,Joe Willock,Newcastle Utd.,"29,40 mio. €"
41,21/22,Départs,Lucas Torreira,Fiorentina,"Montant du prêt:1,50 mio. €"
42,21/22,Départs,Ainsley Maitland-Niles,AS Roma,Montant du prêt:500 K €
43,21/22,Départs,Willian,Corinthians,Transfert libre
44,21/22,Départs,David Luiz,Flamengo,Transfert libre
45,21/22,Départs,Dejan Iliev,AS Trencin,Transfert libre
46,21/22,Départs,Pierre-Emerick Aubameyang,Barcelone,Transfert libre
47,21/22,Départs,Calum Chambers,Aston Villa,Transfert libre
48,21/22,Départs,Sead Kolasinac,Marseille,Transfert libre
49,21/22,Départs,Auston Trusty,Colorado,Prêt
50,21/22,Départs,Héctor Bellerín,Real Betis,Prêt
51,21/22,Départs,Rúnar Alex Rúnarsson,OH Leuven,Prêt
52,21/22,Départs,Reiss Nelson,Feyenoord,Prêt
53,21/22,Départs,Pablo Marí,Udinese,Prêt
54,21/22,Départs,Dejan Iliev,SKF Sered,Prêt
55,21/22,Départs,Mattéo Guendouzi,Marseille,Prêt
56,21/22,Départs,William Saliba,Marseille,Prêt
57,21/22,Arrivées,Thomas Partey,Atlético Madrid,"50,00 mio. €"
58,21/22,Arrivées,Gabriel Magalhães,LOSC Lille,"26,00 mio. €"
59,21/22,Arrivées,Pablo Marí,Flamengo,"6,00 mio. €"
60,21/22,Arrivées,Martin Ødegaard,Real Madrid,"Montant du prêt:2,00 mio. €"
61,21/22,Arrivées,Rúnar Alex Rúnarsson,Dijon,"2,00 mio. €"
62,21/22,Arrivées,Cédric Soares,Southampton,Transfert libre
63,21/22,Arrivées,Willian,Chelsea,Transfert libre
64,21/22,Arrivées,Mathew Ryan,Brighton,Prêt
65,21/22,Arrivées,Dejan Iliev,Shrewsbury,Fin du prêt
66,21/22,Arrivées,Ainsley Maitland-Niles,West Brom,Fin du prêt
67,21/22,Arrivées,Joe Willock,Newcastle Utd.,Fin du prêt
68,21/22,Arrivées,Emile Smith Rowe,Arsenal U23,-
69,20/21,Départs,Emiliano Martínez,Aston Villa,"17,40 mio. €"
70,20/21,Départs,Mattéo Guendouzi,Hertha BSC,"Montant du prêt:1,00 mio. €"
71,20/21,Départs,Konstantinos Mavropanos,VfB Stuttgart,Montant du prêt:750 K €
72,20/21,Départs,Sead Kolasinac,FC Schalke 04,Prêt
73,20/21,Départs,Matt Macey,Hibernian FC,Transfert libre
74,20/21,Départs,Sokratis Papastathopoulos,Olymp. Pirée,Transfert libre
75,20/21,Départs,Mesut Özil,Fenerbahçe,Transfert libre
76,20/21,Départs,Shkodran Mustafi,FC Schalke 04,Transfert libre
77,20/21,Départs,Henrikh Mkhitaryan,AS Roma,Transfert libre
78,20/21,Départs,William Saliba,OGC Nice,Prêt
79,20/21,Départs,Ainsley Maitland-Niles,West Brom,Prêt
80,20/21,Départs,Joe Willock,Newcastle Utd.,Prêt
81,20/21,Départs,Lucas Torreira,Atlético Madrid,Prêt
82,20/21,Départs,Dejan Iliev,Shrewsbury,Prêt
83,20/21,Arrivées,Nicolas Pépé,LOSC Lille,"80,00 mio. €"
84,20/21,Arrivées,William Saliba,Saint-Étienne,"30,00 mio. €"
85,20/21,Arrivées,Kieran Tierney,Celtic Glasgow,"27,00 mio. €"
86,20/21,Arrivées,David Luiz,Chelsea,"8,70 mio. €"
87,20/21,Arrivées,Pablo Marí,Flamengo,"Montant du prêt:8,00 mio. €"
88,20/21,Arrivées,Gabriel Martinelli,Ituano,"7,10 mio. €"
89,20/21,Arrivées,Cédric Soares,Southampton,Prêt
90,20/21,Arrivées,Dani Ceballos,Real Madrid,Prêt
91,20/21,Arrivées,Eddie Nketiah,Leeds United,Fin du prêt
92,20/21,Arrivées,Reiss Nelson,Arsenal U23,-
93,20/21,Arrivées,Joe Willock,Arsenal U23,-
94,20/21,Arrivées,Bukayo Saka,Arsenal U23,-
95,20/21,Arrivées,Konstantinos Mavropanos,1.FC Nürnberg,Fin du prêt
96,20/21,Arrivées,Dejan Iliev,SKF Sered,Fin du prêt
97,19/20,Départs,Alex Iwobi,FC Everton,"30,40 mio. €"
98,19/20,Départs,Krystian Bielik,Derby,"8,20 mio. €"
99,19/20,Départs,Laurent Koscielny,G. Bordeaux,"5,00 mio. €"
100,19/20,Départs,David Ospina,Napoli,"3,50 mio. €"
101,19/20,Départs,Henrikh Mkhitaryan,AS Roma,"Montant du prêt:3,10 mio. €"
102,19/20,Départs,Carl Jenkinson,Nottm Forest,"2,20 mio. €"
103,19/20,Départs,Takuma Asano,Partizan,"1,00 mio. €"
104,19/20,Départs,Nacho Monreal,Real Sociedad,250 K €
105,19/20,Départs,William Saliba,Saint-Étienne,Prêt
106,19/20,Départs,Stephan Lichtsteiner,FC Augsburg,Transfert libre
107,19/20,Départs,Aaron Ramsey,Juventus Turin,Transfert libre
108,19/20,Départs,Danny Welbeck,Watford,Transfert libre
109,19/20,Départs,Dejan Iliev,SKF Sered,Prêt
110,19/20,Départs,Eddie Nketiah,Leeds United,Prêt
111,19/20,Départs,Dejan Iliev,Jagiellonia,Prêt
112,19/20,Départs,Mohamed Elneny,Besiktas,Prêt
113,19/20,Départs,Konstantinos Mavropanos,1.FC Nürnberg,Prêt
114,19/20,Départs,Petr Cech,Fin de carrière,-
115,19/20,Arrivées,Lucas Torreira,Sampdoria,"28,65 mio. €"
116,19/20,Arrivées,Bernd Leno,B. Leverkusen,"25,00 mio. €"
117,19/20,Arrivées,Sokratis Papastathopoulos,Bor. Dortmund,"16,00 mio. €"
118,19/20,Arrivées,Mattéo Guendouzi,FC Lorient,"8,00 mio. €"
119,19/20,Arrivées,Denis Suárez,Barcelone,"Montant du prêt:2,50 mio. €"
120,19/20,Arrivées,Stephan Lichtsteiner,Juventus Turin,Transfert libre
121,19/20,Arrivées,Eddie Nketiah,Arsenal U23,-
122,19/20,Arrivées,Matt Macey,Plymouth Argyle,Fin du prêt
123,19/20,Arrivées,Calum Chambers,FC Fulham,Fin du prêt
124,19/20,Arrivées,Krystian Bielik,Charlton,Fin du prêt
125,19/20,Arrivées,Emiliano Martínez,Reading,Fin du prêt
126,19/20,Arrivées,Dejan Iliev,Arsenal U23,-
127,18/19,Départs,Lucas Pérez,West Ham Utd.,"4,40 mio. €"
128,18/19,Départs,Chuba Akpom,PAOK Saloniki,"2,20 mio. €"
129,18/19,Départs,Joel Campbell,Frosinone,"1,50 mio. €"
130,18/19,Départs,Takuma Asano,Hannover 96,"Montant du prêt:1,00 mio. €"
131,18/19,Départs,Jack Wilshere,West Ham Utd.,Transfert libre
132,18/19,Départs,Matt Macey,Plymouth Argyle,Prêt
133,18/19,Départs,Santi Cazorla,Villarreal CF,Transfert libre
134,18/19,Départs,Emiliano Martínez,Reading,Prêt
135,18/19,Départs,Calum Chambers,FC Fulham,Prêt
136,18/19,Départs,Krystian Bielik,Charlton,Prêt
137,18/19,Départs,David Ospina,Napoli,Prêt
138,18/19,Départs,Per Mertesacker,Fin de carrière,-
139,18/19,Arrivées,Pierre-Emerick Aubameyang,Bor. Dortmund,"63,75 mio. €"
140,18/19,Arrivées,Alexandre Lacazette,Ol. Lyonnais,"53,00 mio. €"
141,18/19,Arrivées,Henrikh Mkhitaryan,Manchester Utd.,"34,00 mio. €"
142,18/19,Arrivées,Konstantinos Mavropanos,PAS Giannina,"2,10 mio. €"
143,18/19,Arrivées,Sead Kolasinac,FC Schalke 04,Transfert libre
144,18/19,Arrivées,Carl Jenkinson,Birmingham,Fin du prêt
145,18/19,Arrivées,Krystian Bielik,FC Walsall,Fin du prêt
146,18/19,Arrivées,Ainsley Maitland-Niles,Arsenal U23,-
147,17/18,Départs,Alex Oxlade-Chamberlain,Liverpool,"38,00 mio. €"
148,17/18,Départs,Alexis Sánchez,Manchester Utd.,"34,00 mio. €"
149,17/18,Départs,Theo Walcott,FC Everton,"22,50 mio. €"
150,17/18,Départs,Wojciech Szczesny,Juventus Turin,"18,00 mio. €"
151,17/18,Départs,Olivier Giroud,Chelsea,"17,00 mio. €"
152,17/18,Départs,Francis Coquelin,FC Valencia,"14,00 mio. €"
153,17/18,Départs,Gabriel Paulista,FC Valencia,"11,00 mio. €"
154,17/18,Départs,Kieran Gibbs,West Brom,"7,50 mio. €"
155,17/18,Départs,Mathieu Debuchy,Saint-Étienne,Transfert libre
156,17/18,Départs,Krystian Bielik,FC Walsall,Prêt
157,17/18,Départs,Yaya Sanogo,Toulouse,Transfert libre
158,17/18,Départs,Chuba Akpom,Saint-Trond,Prêt
159,17/18,Départs,Emiliano Martínez,FC Getafe,Prêt
160,17/18,Départs,Carl Jenkinson,Birmingham,Prêt
161,17/18,Départs,Lucas Pérez,Dep. La Coruña,Prêt
162,17/18,Départs,Joel Campbell,Real Betis,Prêt
163,17/18,Arrivées,Granit Xhaka,Bor. M'gladbach,"45,00 mio. €"
